"strategic_theme","strategic_subtheme","watch_level","sector_type","sector_code","sector_name","scheduled_time","state_data_status","state_source_scheduled_time","state_source_age_seconds","index_change_ratio_pct","current_class_rank","current_candidate_rank","turnover_market_share_pct","turnover_1m_market_share_pct","turnover_market_share_delta_15m","turnover_1m_market_share_delta_15m","up_ratio","new_high_ratio","limit_up_count","limit_break_count","turnover_1m_top1_share_pct","turnover_1m_top3_share_pct","turnover_1m_top5_share_pct","turnover_rank_last_5"
"AI基础设施","数据中心","CORE","concept","885887.TI","数据中心(AIDC)","2026-08-28 15:00:00.000","CURRENT","2026-08-28 15:00:00.000",0,-0.319846,7,\N,27.23375598359808,24.515058486025065,-0.10529168452658766,-4.298186570337485,0.3929663608562691,0,9,4,6.406346302096166,12.792377880853035,17.44917714549999,"[('2026-08-28 14:00:15.000',6),('2026-08-28 14:15:15.000',6),('2026-08-28 14:30:15.000',7),('2026-08-28 14:45:15.000',7),('2026-08-28 15:00:00.000',7)]"
"AI基础设施","光互连","CORE","concept","886033.TI","共封装光学(CPO)","2026-08-28 15:00:00.000","CURRENT","2026-08-28 15:00:00.000",0,-1.129254,12,\N,20.160749898709003,18.487719799582624,-0.1362762468020584,-2.623174684195501,0.22380952380952382,0,3,4,8.494933717091682,18.09381654492244,25.513497455795363,"[('2026-08-28 14:00:15.000',12),('2026-08-28 14:15:15.000',12),('2026-08-28 14:30:15.000',12),('2026-08-28 14:45:15.000',12),('2026-08-28 15:00:00.000',12)]"
"AI基础设施","算力网络","CORE","concept","885957.TI","东数西算(算力)","2026-08-28 15:00:00.000","CURRENT","2026-08-28 15:00:00.000",0,-0.178932,23,\N,14.57118438157351,13.949077173729641,-0.059918135190432764,0.9030883560071015,0.387409200968523,0,10,2,11.25894941447414,18.52026322148752,24.70046648661247,"[('2026-08-28 14:00:15.000',22),('2026-08-28 14:15:15.000',23),('2026-08-28 14:30:15.000',23),('2026-08-28 14:45:15.000',23),('2026-08-28 15:00:00.000',23)]"
"AI基础设施","PCB","CORE","concept","885959.TI","PCB概念","2026-08-28 15:00:00.000","CURRENT","2026-08-28 15:00:00.000",0,-0.6074,27,\N,12.364622077274941,10.832525435862816,-0.12353724718356673,1.4885223310349573,0.3277310924369748,0,4,2,11.14814187701379,25.741276329512967,34.182484473151554,"[('2026-08-28 14:00:15.000',27),('2026-08-28 14:15:15.000',27),('2026-08-28 14:30:15.000',27),('2026-08-28 14:45:15.000',27),('2026-08-28 15:00:00.000',27)]"
"AI基础设施","散热","CORE","concept","886044.TI","液冷服务器","2026-08-28 15:00:00.000","CURRENT","2026-08-28 15:00:00.000",0,-0.955526,29,\N,11.980134811572016,12.006751993199874,-0.05576887822077481,-0.7743379134019008,0.3116883116883117,0,2,1,13.080303013384937,26.119127979161966,33.38600546283727,"[('2026-08-28 14:00:15.000',29),('2026-08-28 14:15:15.000',29),('2026-08-28 14:30:15.000',29),('2026-08-28 14:45:15.000',29),('2026-08-28 15:00:00.000',29)]"
"AI基础设施","GPU生态","CORE","concept","886048.TI","英伟达概念","2026-08-28 15:00:00.000","CURRENT","2026-08-28 15:00:00.000",0,-0.509881,83,\N,5.7028469223175176,6.54005200985811,-0.04031553816571609,1.3239343906090948,0.35,0,0,0,24.013869314936112,39.32058211408422,51.68960338047006,"[('2026-08-28 14:00:15.000',82),('2026-08-28 14:15:15.000',82),('2026-08-28 14:30:15.000',82),('2026-08-28 14:45:15.000',83),('2026-08-28 15:00:00.000',83)]"
"AI基础设施","算力服务","CORE","concept","886050.TI","算力租赁","2026-08-28 15:00:00.000","CURRENT","2026-08-28 15:00:00.000",0,-0.073829,96,\N,4.8780807913576725,6.472884407413095,-0.0016876362522326716,1.888020774218898,0.41397849462365593,0,4,1,24.263055601263883,37.67618935106242,45.070124374279004,"[('2026-08-28 14:00:15.000',95),('2026-08-28 14:15:15.000',95),('2026-08-28 14:30:15.000',96),('2026-08-28 14:45:15.000',96),('2026-08-28 15:00:00.000',96)]"
"AI基础设施","高速连接","CORE","concept","886073.TI","铜缆高速连接","2026-08-28 15:00:00.000","CURRENT","2026-08-28 15:00:00.000",0,-1.316023,145,\N,2.894148947952,2.2964993847979907,-0.007540739201340241,-0.20620870928244717,0.19148936170212766,0,0,1,23.983742701390295,42.85880629963159,53.67094453583782,"[('2026-08-28 14:00:15.000',143),('2026-08-28 14:15:15.000',144),('2026-08-28 14:30:15.000',145),('2026-08-28 14:45:15.000',145),('2026-08-28 15:00:00.000',145)]"
"AI基础设施","PCB","CORE","industry","884092.TI","印制电路板","2026-08-28 15:00:00.000","CURRENT","2026-08-28 15:00:00.000",0,-0.851675,5,\N,4.904404415101897,4.549625766818047,-0.060178337959476025,1.0761338220887486,0.2978723404255319,0,0,1,21.769894801401417,44.90269902052708,63.19751530288499,"[('2026-08-28 14:00:15.000',5),('2026-08-28 14:15:15.000',5),('2026-08-28 14:30:15.000',5),('2026-08-28 14:45:15.000',5),('2026-08-28 15:00:00.000',5)]"
"AI基础设施","算力综合","CORE","style","883443.TI","同花顺算力主题精选","2026-08-28 15:00:00.000","CURRENT","2026-08-28 15:00:00.000",0,-1.598684,12,\N,18.131969196357204,16.59061743613814,-0.11393595940288748,-4.201516529856402,0.14,0,1,1,11.16198098782688,26.59822557563558,34.86633146202271,"[('2026-08-28 14:00:15.000',12),('2026-08-28 14:15:15.000',12),('2026-08-28 14:30:15.000',12),('2026-08-28 14:45:15.000',12),('2026-08-28 15:00:00.000',12)]"
